id,name,state,county,range,elevation_ft,elevation_m,prominence_ft,lat,lon,gnis_feature_id,wikidata_qid,wikipedia_url,lists,photo_url,photo_license,photo_license_url,photo_author,photo_source_page,photo_attribution,coord_source,official_usgs_name,prominence_marginal,aka
ca-mount-agassiz,Mount Agassiz,California,Inyo,,13893,4235,,37.1118775,-118.5307554,256133,Q6919275,https://en.wikipedia.org/wiki/Mount_Agassiz_%28California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/6/63/Mount_Agassiz_southeast_face.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Justin,https://commons.wikimedia.org/wiki/File:Mount_Agassiz_southeast_face.jpg,"Justin, CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 256133,True,False,
ca-junction-peak,Junction Peak,California,Inyo,,13888,4233,,36.6909623,-118.366282,262046,Q6311758,https://en.wikipedia.org/wiki/Junction_Peak,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/a/ad/Kings_Canyon-Junction_Peak_Aah11.jpg,Public domain,,Ansel Adams,https://commons.wikimedia.org/wiki/File:Kings_Canyon-Junction_Peak_Aah11.jpg,"Ansel Adams, Public domain, via Wikimedia Commons",USGS GNIS feature 262046,True,False,
ca-norman-clyde-peak,Norman Clyde Peak,California,Inyo,,13855,4223,,37.0744853,-118.4744223,1659244,Q8525889,https://en.wikipedia.org/wiki/Norman_Clyde_Peak,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/b/b2/Norman_Clyde_Peak%27s_northeast_face%2C_seen_from_Big_Pine_Creek_near_Glacier_Lodge.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Justin.Johnsen (talk · contribs) (Justin at Flickr),"https://commons.wikimedia.org/wiki/File:Norman_Clyde_Peak%27s_northeast_face,_seen_from_Big_Pine_Creek_near_Glacier_Lodge.jpg","Justin.Johnsen (talk · contribs) (Justin at Flickr), CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 1659244,True,True,
ca-mount-mallory,Mount Mallory,California,Inyo,,13845,4220,,36.5490861,-118.2622756,263134,Q6921982,https://en.wikipedia.org/wiki/Mount_Mallory,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/3/34/Mount_Whitney_vista.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Jonathan Fox,https://commons.wikimedia.org/wiki/File:Mount_Whitney_vista.jpg,"Jonathan Fox, CC BY-SA 2.0, via Wikimedia Commons",USGS GNIS feature 263134,True,False,
ca-caltech-peak,CalTech Peak,California,Tulare,,13832,4216,,36.6884149,-118.3904881,254691,Q35732519,https://en.wikipedia.org/wiki/Caltech_Peak,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/1/1f/Forester_Pass_view_North.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Dcrjsr,https://commons.wikimedia.org/wiki/File:Forester_Pass_view_North.jpg,"Dcrjsr, CC BY 3.0, via Wikimedia Commons",USGS GNIS feature 254691,True,False,
ca-mount-darwin,Mount Darwin,California,Fresno,,13831,4216,,37.1670216,-118.672388,259069,Q2963260,https://en.wikipedia.org/wiki/Mount_Darwin_%28California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/c/c4/Mount_Darwin.jpg,Public domain,,MtDarwinUpload (talk · contribs),https://commons.wikimedia.org/wiki/File:Mount_Darwin.jpg,"MtDarwinUpload (talk · contribs), Public domain, via Wikimedia Commons",USGS GNIS feature 259069,True,False,
wy-gannett-peak,Gannett Peak,Wyoming,Fremont,,13809.4,4209.1,,43.1843012,-109.6541217,1599903,Q1493617,https://en.wikipedia.org/wiki/Gannett_Peak,us-state-highpoints,https://upload.wikimedia.org/wikipedia/commons/5/54/Gannett_Peak.jpg,Public domain,,U.S. Forest Service,https://commons.wikimedia.org/wiki/File:Gannett_Peak.jpg,"U.S. Forest Service, Public domain, via Wikimedia Commons",USGS GNIS feature 1599903,,,
hi-mauna-kea,Mauna Kea,Hawaii,Hawaii,,13803.5,4207.3,,19.8206065,-155.4681155,366215,Q131230,https://en.wikipedia.org/wiki/Mauna_Kea,us-state-highpoints,https://upload.wikimedia.org/wikipedia/commons/7/78/Mauna_Kea10.jpg,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,,https://commons.wikimedia.org/wiki/File:Mauna_Kea10.jpg,"Unknown author, CC BY-SA 3.0, via Wikimedia Commons",USGS GNIS feature 366215,,,
ca-mount-kaweah,Mount Kaweah,California,Tulare,,13802,4207,,36.5260095,-118.4785526,254846,Q6921611,https://en.wikipedia.org/wiki/Mount_Kaweah,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/0/06/Mt_Kaweah.jpg,Public domain,,W.L. Huber,https://commons.wikimedia.org/wiki/File:Mt_Kaweah.jpg,"W.L. Huber, Public domain, via Wikimedia Commons",USGS GNIS feature 254846,True,False,
ca-mount-mcadie,Mount McAdie,California,Tulare,,13799,4206,,36.5517527,-118.2763365,1659080,Q6922077,https://en.wikipedia.org/wiki/Mount_McAdie,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/e/e2/Mount_McAdie_from_the_summit_of_Whitney.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,glenngould,https://commons.wikimedia.org/wiki/File:Mount_McAdie_from_the_summit_of_Whitney.jpg,"glenngould, CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 1659080,True,False,
